,Name,Price,Link,Img_url
0,Laptop Dell Inspiron 15 3520,16.490.000đ,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-25p2312.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_2__2_4.png
1,Laptop MSI Gaming Thin 15 B13UC-2081VN,18.490.000đ,https://cellphones.com.vn/laptop-msi-gaming-thin-15-b13uc-2081vn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_5__2.png
2,Laptop ASUS Gaming VivoBook K3605ZC-RP564W,19.290.000đ,https://cellphones.com.vn/laptop-asus-gaming-vivobook-k3605zc-rp564w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_-_2024-07-31t162730.053.png
3,Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,9.490.000đ,https://cellphones.com.vn/laptop-acer-aspire-3-spin-14-a3sp14-31pt-387z.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_1__3_13.png
4,Laptop MSI Modern 15 B12MO-487VN,14.990.000đ,https://cellphones.com.vn/laptop-msi-modern-15-b12mo-487vn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__2_31.png
5,Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN,15.990.000đ,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14iah8-83bf002nvn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__1_91.png
6,Laptop Lenovo LOQ 15ARP9 83JC007HVN,21.390.000đ,https://cellphones.com.vn/laptop-lenovo-loq-15arp9-83jc007hvn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__4_84.png
7,Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W,16.290.000đ,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405za-km264w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__5_13.png
8,Laptop Acer Gaming Aspire 5 A515-58GM-53PZ,15.490.000đ,https://cellphones.com.vn/laptop-acer-gaming-aspire-5-a515-58gm-53pz.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_26_.png
9,Laptop ASUS TUF Gaming F15 FX507ZC4-HN095W,20.290.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn095w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_13__1.png
10,Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001,11.990.000đ,https://cellphones.com.vn/laptop-acer-aspire-3-a314-42p-r3b3.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/c/t/ctm.png
11,Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,18.490.000đ,https://cellphones.com.vn/macbook-air-2020-m1.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_5_1.png
12,Laptop ASUS VivoBook Go 14 E1404FA-NK177W,12.390.000đ,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk177w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2023-06-08t005130.908.png
13,Apple MacBook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,23.990.000đ,https://cellphones.com.vn/macbook-air-m2-2022.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_1__1_8.png
14,Laptop HP 240 G9 9E5W3PT,13.990.000đ,https://cellphones.com.vn/laptop-hp-240-g9-9e5w3pt.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_4__6_41.png
15,Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN,15.990.000đ,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14iah8-83bf002nvn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_8__1_91.png
16,Laptop Lenovo IdeaPad Flex 5 14IAU7 82R700JQVN,11.490.000đ,https://cellphones.com.vn/laptop-lenovo-ideapad-flex-5-14iau7-82r700jqvn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14__2_13.png
17,Laptop Lenovo LOQ 15IAX9 83GS001RVN,21.290.000đ,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs001rvn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_9__1.png
18,Laptop HP Pavilion 15-EG3111TU 8U6L8PA,18.490.000đ,https://cellphones.com.vn/laptop-hp-pavilion-15-eg3111tu-8u6l8pa.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_10__4_41.png
19,Laptop ASUS Gaming VivoBook K3605ZF-RP634W,17.290.000đ,https://cellphones.com.vn/laptop-asus-gaming-vivobook-k3605zf-rp634w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_-_2024-07-31t163011.265.png
20,Laptop ASUS Vivobook 14 OLED A1405ZA-KM263W,18.490.000đ,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405za-km263w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_15__7_59.png
21,Laptop Dell Inspiron 15 3520,16.490.000đ,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-25p2312.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_2__2_4.png
22,Laptop ASUS Zenbook S 14 OLED UX5406SA-PV140WS,44.990.000đ,https://cellphones.com.vn/laptop-asus-zenbook-s-14-oled-ux5406sa-pv140ws.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_24__3_5.png
23,Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP,18.990.000đ,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-tiger-an515-58-52sp.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_1__1.png
24,Apple MacBook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,28.990.000đ,https://cellphones.com.vn/macbook-air-m2-2022-16gb.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_4__1.png
25,Laptop Acer Aspire 3 A315-59-381E,9.490.000đ,https://cellphones.com.vn/laptop-acer-aspire-3-a315-59-381e.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/l/a/laptop-acer-aspire-3-a315-59-381e-thumbnails.png
26,Laptop ASUS TUF Gaming F15 FX507ZC4-HN074W,18.990.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn074w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_4__1.png
27,Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W,16.290.000đ,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405za-km264w.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__5_13.png
28,Laptop Lenovo LOQ 15IAX9 83GS001SVN,19.290.000đ,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs001svn.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_509_5__1.png
29,Laptop HP 15S-FQ5231TU 8U241PA,10.490.000đ,https://cellphones.com.vn/laptop-hp-15s-fq5231tu-8u241pa.html,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__4_21.png
